Player,Date,Pitcher,Team,ISO,Pitcher_HR9,HardHit,FlyBall,ParkFactor,WindFactor,Matchup,HR_Result,BarrelRate,ExitVelocity,LaunchAngle,RecentHRRate
Adley Rutschman,2024-03-28,Patrick Sandoval,Baltimore Orioles,0.285,1.03,58.13,46.32,0.94,0.91,0.56,0,10.0,90.0,16.0,0.1
Ryan Mountcastle,2024-03-28,Patrick Sandoval,Baltimore Orioles,0.208,1.99,48.58,46.93,1.06,1.1,0.59,0,10.0,90.0,16.0,0.1
Anthony Santander,2024-03-28,Patrick Sandoval,Baltimore Orioles,0.335,2.1,57.84,48.77,1.12,1.05,0.77,1,10.0,90.0,16.0,0.1
Colton Cowser,2024-03-28,Patrick Sandoval,Baltimore Orioles,0.179,1.66,34.3,40.13,1.15,1.17,0.99,0,10.0,90.0,16.0,0.1
Austin Hays,2024-03-28,Patrick Sandoval,Baltimore Orioles,0.292,1.3,58.05,22.35,0.91,0.91,0.74,0,10.0,90.0,16.0,0.1
Jordan Westburg,2024-03-28,Patrick Sandoval,Baltimore Orioles,0.227,1.65,44.55,23.71,1.07,1.12,0.85,0,10.0,90.0,16.0,0.1
Ryan O'Hearn,2024-03-28,Patrick Sandoval,Baltimore Orioles,0.199,1.72,49.09,21.05,1.1,1.18,0.58,0,10.0,90.0,16.0,0.1
Cedric Mullins,2024-03-28,Patrick Sandoval,Baltimore Orioles,0.184,1.72,41.65,37.17,1.03,1.09,0.61,1,10.0,90.0,16.0,0.1
Ramón Urías,2024-03-28,Patrick Sandoval,Baltimore Orioles,0.158,1.76,30.98,34.04,1.07,1.02,0.87,0,10.0,90.0,16.0,0.1
Jorge Mateo,2024-03-28,Patrick Sandoval,Baltimore Orioles,0.309,1.64,48.35,20.41,1.0,0.91,0.81,0,10.0,90.0,16.0,0.1
Corbin Burnes,2024-03-28,Patrick Sandoval,Baltimore Orioles,0.331,1.56,38.54,28.11,1.13,1.13,0.64,0,10.0,90.0,16.0,0.1
Mike Baumann,2024-03-28,Patrick Sandoval,Baltimore Orioles,0.303,1.86,50.29,25.98,1.2,0.99,0.88,0,10.0,90.0,16.0,0.1
Dillon Tate,2024-03-28,Patrick Sandoval,Baltimore Orioles,0.338,1.92,51.77,32.35,0.94,1.12,0.86,0,10.0,90.0,16.0,0.1
Keegan Akin,2024-03-28,Patrick Sandoval,Baltimore Orioles,0.312,1.78,26.9,29.16,0.91,1.0,0.92,0,10.0,90.0,16.0,0.1
CJ Abrams,2024-03-28,Frankie Montas,Washington Nationals,0.328,1.34,31.88,46.38,1.06,1.16,0.94,0,10.0,90.0,16.0,0.1
Lane Thomas,2024-03-28,Frankie Montas,Washington Nationals,0.244,0.99,46.18,24.47,0.95,1.04,0.57,0,10.0,90.0,16.0,0.1
Jesse Winker,2024-03-28,Frankie Montas,Washington Nationals,0.3,1.97,50.87,26.53,0.99,0.93,0.95,0,10.0,90.0,16.0,0.1
Joey Meneses,2024-03-28,Frankie Montas,Washington Nationals,0.226,1.38,49.03,47.42,1.04,0.96,0.98,0,10.0,90.0,16.0,0.1
Joey Gallo,2024-03-28,Frankie Montas,Washington Nationals,0.149,2.19,53.42,47.86,1.16,1.02,0.68,0,10.0,90.0,16.0,0.1
Keibert Ruiz,2024-03-28,Frankie Montas,Washington Nationals,0.227,1.54,56.2,23.24,1.03,1.15,0.53,0,10.0,90.0,16.0,0.1
Eddie Rosario,2024-03-28,Frankie Montas,Washington Nationals,0.238,0.93,46.5,42.23,0.95,1.1,0.79,1,10.0,90.0,16.0,0.1
Ildemaro Vargas,2024-03-28,Frankie Montas,Washington Nationals,0.21,1.49,56.78,30.74,1.1,1.15,0.83,0,10.0,90.0,16.0,0.1
Luis García Jr.,2024-03-28,Frankie Montas,Washington Nationals,0.126,1.2,29.87,25.32,1.19,0.93,0.82,0,10.0,90.0,16.0,0.1
Josiah Gray,2024-03-28,Frankie Montas,Washington Nationals,0.164,2.18,56.83,35.97,1.15,1.12,0.69,0,10.0,90.0,16.0,0.1
Robert Garcia,2024-03-28,Frankie Montas,Washington Nationals,0.32,1.21,35.04,41.07,0.95,1.16,0.89,0,10.0,90.0,16.0,0.1
Dylan Floro,2024-03-28,Frankie Montas,Washington Nationals,0.281,1.19,51.28,39.32,0.93,1.02,0.91,0,10.0,90.0,16.0,0.1
Matt Barnes,2024-03-28,Frankie Montas,Washington Nationals,0.189,1.02,39.0,45.45,1.03,0.98,0.94,0,10.0,90.0,16.0,0.1
Tanner Rainey,2024-03-28,Frankie Montas,Washington Nationals,0.213,1.94,58.7,25.36,0.91,1.06,0.91,0,10.0,90.0,16.0,0.1
Jonathan India,2024-03-28,Josiah Gray,Cincinnati Reds,0.128,1.52,44.7,41.67,0.9,1.16,0.51,0,10.0,90.0,16.0,0.1
Will Benson,2024-03-28,Josiah Gray,Cincinnati Reds,0.144,1.32,37.24,34.35,0.97,1.02,0.66,0,10.0,90.0,16.0,0.1
Christian Encarnacion-Strand,2024-03-28,Josiah Gray,Cincinnati Reds,0.231,1.27,40.42,22.99,0.95,0.98,0.92,0,10.0,90.0,16.0,0.1
Jeimer Candelario,2024-03-28,Josiah Gray,Cincinnati Reds,0.326,0.98,27.07,33.86,1.11,1.18,0.91,0,10.0,90.0,16.0,0.1
Jake Fraley,2024-03-28,Josiah Gray,Cincinnati Reds,0.164,0.98,27.35,46.92,1.08,1.02,0.8,0,10.0,90.0,16.0,0.1
Elly De La Cruz,2024-03-28,Josiah Gray,Cincinnati Reds,0.207,0.91,36.99,35.6,0.98,1.09,0.81,0,10.0,90.0,16.0,0.1
Spencer Steer,2024-03-28,Josiah Gray,Cincinnati Reds,0.204,2.17,25.63,45.95,1.0,0.93,0.72,0,10.0,90.0,16.0,0.1
Nick Martini,2024-03-28,Josiah Gray,Cincinnati Reds,0.264,2.07,42.51,45.09,0.96,1.04,0.99,1,10.0,90.0,16.0,0.1
Tyler Stephenson,2024-03-28,Josiah Gray,Cincinnati Reds,0.224,1.61,42.62,22.82,1.15,1.01,0.64,0,10.0,90.0,16.0,0.1
Frankie Montas,2024-03-28,Josiah Gray,Cincinnati Reds,0.193,1.33,34.46,36.91,1.17,1.05,0.59,0,10.0,90.0,16.0,0.1
Emilio Pagán,2024-03-28,Josiah Gray,Cincinnati Reds,0.332,1.9,35.08,22.51,0.96,1.01,0.87,0,10.0,90.0,16.0,0.1
Brent Suter,2024-03-28,Josiah Gray,Cincinnati Reds,0.225,1.41,39.22,38.21,0.96,1.02,0.85,0,10.0,90.0,16.0,0.1
Jung Hoo Lee,2024-03-28,Yu Darvish,San Francisco Giants,0.176,2.15,45.39,46.06,1.08,1.11,0.53,0,10.0,90.0,16.0,0.1
Jorge Soler,2024-03-28,Yu Darvish,San Francisco Giants,0.322,0.95,31.62,38.64,0.92,0.99,0.87,0,10.0,90.0,16.0,0.1
LaMonte Wade Jr.,2024-03-28,Yu Darvish,San Francisco Giants,0.195,0.88,45.67,45.45,1.04,0.95,0.75,0,10.0,90.0,16.0,0.1
Wilmer Flores,2024-03-28,Yu Darvish,San Francisco Giants,0.313,2.12,55.85,28.33,1.05,0.97,0.85,0,10.0,90.0,16.0,0.1
Matt Chapman,2024-03-28,Yu Darvish,San Francisco Giants,0.264,1.1,37.76,45.75,0.97,1.09,0.79,0,10.0,90.0,16.0,0.1
Mike Yastrzemski,2024-03-28,Yu Darvish,San Francisco Giants,0.212,0.84,47.5,27.37,1.15,1.08,0.51,0,10.0,90.0,16.0,0.1
Thairo Estrada,2024-03-28,Yu Darvish,San Francisco Giants,0.133,2.0,46.59,40.12,1.01,1.08,0.59,0,10.0,90.0,16.0,0.1
Michael Conforto,2024-03-28,Yu Darvish,San Francisco Giants,0.333,0.92,39.42,40.51,1.05,0.97,0.81,1,10.0,90.0,16.0,0.1
Patrick Bailey,2024-03-28,Yu Darvish,San Francisco Giants,0.203,2.11,38.05,32.13,1.09,1.19,0.93,0,10.0,90.0,16.0,0.1
Nick Ahmed,2024-03-28,Yu Darvish,San Francisco Giants,0.34,2.12,55.24,22.43,1.07,1.01,0.54,0,10.0,90.0,16.0,0.1
Logan Webb,2024-03-28,Yu Darvish,San Francisco Giants,0.228,0.82,49.43,20.23,0.99,0.92,0.76,0,10.0,90.0,16.0,0.1
Luke Jackson,2024-03-28,Yu Darvish,San Francisco Giants,0.148,1.32,56.86,40.5,1.05,1.14,0.67,0,10.0,90.0,16.0,0.1
Ryan Walker,2024-03-28,Yu Darvish,San Francisco Giants,0.135,1.57,29.92,35.32,1.14,1.06,0.64,0,10.0,90.0,16.0,0.1
Erik Miller,2024-03-28,Yu Darvish,San Francisco Giants,0.167,2.0,28.44,36.04,1.1,1.18,0.84,0,10.0,90.0,16.0,0.1
Xander Bogaerts,2024-03-28,Logan Webb,San Diego Padres,0.265,1.0,40.07,36.56,1.18,1.17,0.79,0,10.0,90.0,16.0,0.1
Fernando Tatis Jr.,2024-03-28,Logan Webb,San Diego Padres,0.327,1.82,52.15,34.86,1.03,1.05,0.96,0,10.0,90.0,16.0,0.1
Jake Cronenworth,2024-03-28,Logan Webb,San Diego Padres,0.332,1.18,38.66,44.0,0.98,0.96,0.8,0,10.0,90.0,16.0,0.1
Manny Machado,2024-03-28,Logan Webb,San Diego Padres,0.28,1.22,30.8,26.41,0.92,1.14,0.73,0,10.0,90.0,16.0,0.1
Ha-Seong Kim,2024-03-28,Logan Webb,San Diego Padres,0.294,1.99,35.47,22.55,0.93,1.1,0.96,0,10.0,90.0,16.0,0.1
Jurickson Profar,2024-03-28,Logan Webb,San Diego Padres,0.167,1.46,42.74,30.69,0.9,1.08,0.95,0,10.0,90.0,16.0,0.1
José Azócar,2024-03-28,Logan Webb,San Diego Padres,0.274,1.58,29.43,46.46,1.05,1.09,0.61,0,10.0,90.0,16.0,0.1
Luis Campusano,2024-03-28,Logan Webb,San Diego Padres,0.228,1.55,36.27,22.99,1.09,1.03,0.56,0,10.0,90.0,16.0,0.1
Tyler Wade,2024-03-28,Logan Webb,San Diego Padres,0.253,1.03,25.48,38.69,0.91,1.17,0.67,0,10.0,90.0,16.0,0.1
Eguy Rosario,2024-03-28,Logan Webb,San Diego Padres,0.315,1.53,38.77,25.54,0.97,1.19,0.5,0,10.0,90.0,16.0,0.1
Jackson Merrill,2024-03-28,Logan Webb,San Diego Padres,0.145,1.5,53.31,21.96,1.15,1.16,0.78,0,10.0,90.0,16.0,0.1
Yu Darvish,2024-03-28,Logan Webb,San Diego Padres,0.21,1.37,49.88,25.69,1.15,0.92,0.87,0,10.0,90.0,16.0,0.1
Tom Cosgrove,2024-03-28,Logan Webb,San Diego Padres,0.318,1.85,43.63,33.99,0.94,1.03,0.73,0,10.0,90.0,16.0,0.1
Jhony Brito,2024-03-28,Logan Webb,San Diego Padres,0.129,0.93,38.09,23.18,1.04,1.0,0.67,0,10.0,90.0,16.0,0.1
Yuki Matsui,2024-03-28,Logan Webb,San Diego Padres,0.125,1.33,56.76,26.75,1.06,1.09,0.52,0,10.0,90.0,16.0,0.1
Robert Suarez,2024-03-28,Logan Webb,San Diego Padres,0.261,1.4,34.49,28.23,0.93,0.96,0.64,0,10.0,90.0,16.0,0.1
Brendan Donovan,2024-03-28,Tyler Glasnow,St. Louis Cardinals,0.302,1.9,30.72,49.05,1.2,1.06,0.92,0,10.0,90.0,16.0,0.1
Paul Goldschmidt,2024-03-28,Tyler Glasnow,St. Louis Cardinals,0.273,1.38,32.73,48.3,0.98,1.03,0.69,1,10.0,90.0,16.0,0.1
Nolan Gorman,2024-03-28,Tyler Glasnow,St. Louis Cardinals,0.311,1.37,59.99,41.3,1.13,1.0,0.69,0,10.0,90.0,16.0,0.1
Nolan Arenado,2024-03-28,Tyler Glasnow,St. Louis Cardinals,0.253,1.26,42.23,23.95,1.15,1.07,0.94,0,10.0,90.0,16.0,0.1
Willson Contreras,2024-03-28,Tyler Glasnow,St. Louis Cardinals,0.252,1.29,51.71,28.1,1.03,1.12,0.79,0,10.0,90.0,16.0,0.1
Alec Burleson,2024-03-28,Tyler Glasnow,St. Louis Cardinals,0.144,1.65,52.32,30.24,1.11,1.14,0.99,0,10.0,90.0,16.0,0.1
Jordan Walker,2024-03-28,Tyler Glasnow,St. Louis Cardinals,0.336,1.42,44.1,24.82,0.93,1.18,0.72,0,10.0,90.0,16.0,0.1
Victor Scott II,2024-03-28,Tyler Glasnow,St. Louis Cardinals,0.202,1.26,35.76,32.48,1.0,0.96,0.9,0,10.0,90.0,16.0,0.1
Masyn Winn,2024-03-28,Tyler Glasnow,St. Louis Cardinals,0.299,1.45,38.28,27.26,0.93,0.95,0.92,0,10.0,90.0,16.0,0.1
Miles Mikolas,2024-03-28,Tyler Glasnow,St. Louis Cardinals,0.214,1.31,35.85,31.18,1.19,1.07,0.96,0,10.0,90.0,16.0,0.1
Andre Pallante,2024-03-28,Tyler Glasnow,St. Louis Cardinals,0.147,0.91,44.37,39.65,1.2,0.92,0.81,0,10.0,90.0,16.0,0.1
Riley O'Brien,2024-03-28,Tyler Glasnow,St. Louis Cardinals,0.339,0.85,31.21,30.33,1.06,0.93,0.79,0,10.0,90.0,16.0,0.1
Matthew Liberatore,2024-03-28,Tyler Glasnow,St. Louis Cardinals,0.259,1.93,53.0,20.85,1.11,1.13,0.75,0,10.0,90.0,16.0,0.1
Mookie Betts,2024-03-28,Miles Mikolas,Los Angeles Dodgers,0.229,2.09,34.15,26.36,0.96,0.92,0.83,1,10.0,90.0,16.0,0.1
Shohei Ohtani,2024-03-28,Miles Mikolas,Los Angeles Dodgers,0.181,2.03,34.78,23.69,1.0,0.98,0.67,0,10.0,90.0,16.0,0.1
Freddie Freeman,2024-03-28,Miles Mikolas,Los Angeles Dodgers,0.19,2.06,55.12,33.21,0.9,1.16,0.82,1,10.0,90.0,16.0,0.1
Will Smith,2024-03-28,Miles Mikolas,Los Angeles Dodgers,0.244,0.87,28.52,43.41,0.9,1.15,0.68,0,10.0,90.0,16.0,0.1
Max Muncy,2024-03-28,Miles Mikolas,Los Angeles Dodgers,0.262,1.41,50.82,42.32,1.03,1.12,0.67,0,10.0,90.0,16.0,0.1
Teoscar Hernández,2024-03-28,Miles Mikolas,Los Angeles Dodgers,0.153,1.67,51.55,44.9,1.01,1.18,0.83,0,10.0,90.0,16.0,0.1
James Outman,2024-03-28,Miles Mikolas,Los Angeles Dodgers,0.194,1.67,55.08,37.5,1.01,0.92,0.58,0,10.0,90.0,16.0,0.1
Chris Taylor,2024-03-28,Miles Mikolas,Los Angeles Dodgers,0.316,1.26,42.75,37.2,1.17,1.01,0.52,0,10.0,90.0,16.0,0.1
Jason Heyward,2024-03-28,Miles Mikolas,Los Angeles Dodgers,0.325,1.67,50.68,48.0,0.97,1.18,0.69,0,10.0,90.0,16.0,0.1
Enrique Hernández,2024-03-28,Miles Mikolas,Los Angeles Dodgers,0.181,2.2,52.96,40.14,1.16,1.02,0.79,0,10.0,90.0,16.0,0.1
Gavin Lux,2024-03-28,Miles Mikolas,Los Angeles Dodgers,0.168,2.04,49.33,35.54,1.14,0.96,0.63,0,10.0,90.0,16.0,0.1
Miguel Rojas,2024-03-28,Miles Mikolas,Los Angeles Dodgers,0.225,1.17,33.27,30.71,0.94,1.15,0.88,0,10.0,90.0,16.0,0.1
Tyler Glasnow,2024-03-28,Miles Mikolas,Los Angeles Dodgers,0.324,0.98,37.54,33.4,1.19,0.96,0.66,0,10.0,90.0,16.0,0.1
Ryan Yarbrough,2024-03-28,Miles Mikolas,Los Angeles Dodgers,0.146,2.1,50.11,45.27,1.08,1.03,0.98,0,10.0,90.0,16.0,0.1
George Springer,2024-03-28,Zach Eflin,Toronto Blue Jays,0.248,1.63,34.71,20.69,1.07,1.14,0.57,1,10.0,90.0,16.0,0.1
Vladimir Guerrero Jr.,2024-03-28,Zach Eflin,Toronto Blue Jays,0.268,1.47,41.38,22.68,1.0,1.12,0.93,1,10.0,90.0,16.0,0.1
Bo Bichette,2024-03-28,Zach Eflin,Toronto Blue Jays,0.251,0.88,39.96,32.14,1.11,1.04,0.53,0,10.0,90.0,16.0,0.1
Justin Turner,2024-03-28,Zach Eflin,Toronto Blue Jays,0.172,1.31,30.15,29.45,1.01,1.02,0.55,0,10.0,90.0,16.0,0.1
Daulton Varsho,2024-03-28,Zach Eflin,Toronto Blue Jays,0.127,0.98,34.03,34.37,0.95,1.01,0.73,0,10.0,90.0,16.0,0.1
Alejandro Kirk,2024-03-28,Zach Eflin,Toronto Blue Jays,0.182,0.81,35.39,48.04,1.04,1.02,0.64,0,10.0,90.0,16.0,0.1
Kevin Kiermaier,2024-03-28,Zach Eflin,Toronto Blue Jays,0.193,1.12,43.43,39.69,1.08,1.18,0.96,0,10.0,90.0,16.0,0.1
Isiah Kiner-Falefa,2024-03-28,Zach Eflin,Toronto Blue Jays,0.123,2.01,51.23,44.87,0.93,1.15,0.77,0,10.0,90.0,16.0,0.1
Cavan Biggio,2024-03-28,Zach Eflin,Toronto Blue Jays,0.276,1.19,25.0,33.45,0.99,1.18,0.93,1,10.0,90.0,16.0,0.1
José Berríos,2024-03-28,Zach Eflin,Toronto Blue Jays,0.302,1.07,56.5,31.71,1.03,1.18,0.8,0,10.0,90.0,16.0,0.1
Trevor Richards,2024-03-28,Zach Eflin,Toronto Blue Jays,0.173,1.28,46.59,34.83,1.11,0.98,0.65,0,10.0,90.0,16.0,0.1
Nate Pearson,2024-03-28,Zach Eflin,Toronto Blue Jays,0.222,1.81,52.47,24.49,0.99,0.99,0.74,0,10.0,90.0,16.0,0.1
Tim Mayza,2024-03-28,Zach Eflin,Toronto Blue Jays,0.153,1.98,31.49,29.59,1.04,1.18,0.72,0,10.0,90.0,16.0,0.1
Yandy Díaz,2024-03-28,José Berríos,Tampa Bay Rays,0.198,1.13,35.53,23.15,1.03,0.97,0.9,1,10.0,90.0,16.0,0.1
Brandon Lowe,2024-03-28,José Berríos,Tampa Bay Rays,0.232,0.9,26.03,26.03,0.93,1.12,0.62,0,10.0,90.0,16.0,0.1
Randy Arozarena,2024-03-28,José Berríos,Tampa Bay Rays,0.233,1.31,34.32,28.36,1.09,1.14,0.76,0,10.0,90.0,16.0,0.1
Harold Ramírez,2024-03-28,José Berríos,Tampa Bay Rays,0.136,1.12,51.22,29.72,0.98,0.96,0.96,0,10.0,90.0,16.0,0.1
Isaac Paredes,2024-03-28,José Berríos,Tampa Bay Rays,0.281,2.08,59.26,28.31,0.98,0.94,0.9,0,10.0,90.0,16.0,0.1
Richie Palacios,2024-03-28,José Berríos,Tampa Bay Rays,0.313,0.81,26.32,38.03,0.94,0.94,0.59,0,10.0,90.0,16.0,0.1
Amed Rosario,2024-03-28,José Berríos,Tampa Bay Rays,0.301,0.97,34.36,34.76,1.19,1.08,0.64,0,10.0,90.0,16.0,0.1
Jose Siri,2024-03-28,José Berríos,Tampa Bay Rays,0.133,1.56,59.9,27.3,1.05,1.07,0.79,0,10.0,90.0,16.0,0.1
José Caballero,2024-03-28,José Berríos,Tampa Bay Rays,0.158,1.31,42.88,48.56,1.04,1.1,0.96,0,10.0,90.0,16.0,0.1
René Pinto,2024-03-28,José Berríos,Tampa Bay Rays,0.301,2.0,37.04,31.35,0.96,1.2,0.93,0,10.0,90.0,16.0,0.1
Zach Eflin,2024-03-28,José Berríos,Tampa Bay Rays,0.3,1.78,43.79,27.31,1.03,0.91,0.57,0,10.0,90.0,16.0,0.1
Shawn Armstrong,2024-03-28,José Berríos,Tampa Bay Rays,0.251,1.32,35.78,24.22,1.01,0.92,0.84,0,10.0,90.0,16.0,0.1
Garrett Cleavinger,2024-03-28,José Berríos,Tampa Bay Rays,0.122,1.12,56.7,40.84,1.15,1.03,0.99,0,10.0,90.0,16.0,0.1
Phil Maton,2024-03-28,José Berríos,Tampa Bay Rays,0.17,2.13,40.7,33.65,0.97,0.92,0.96,0,10.0,90.0,16.0,0.1
Byron Buxton,2024-03-28,Cole Ragans,Minnesota Twins,0.303,1.41,44.78,37.79,0.93,1.11,0.69,0,10.0,90.0,16.0,0.1
Ryan Jeffers,2024-03-28,Cole Ragans,Minnesota Twins,0.18,1.13,57.93,48.25,0.91,1.11,0.79,0,10.0,90.0,16.0,0.1
Royce Lewis,2024-03-28,Cole Ragans,Minnesota Twins,0.185,1.13,38.16,25.6,0.93,0.91,0.89,1,10.0,90.0,16.0,0.1
Edouard Julien,2024-03-28,Cole Ragans,Minnesota Twins,0.238,0.86,41.44,43.67,1.13,1.15,0.85,0,10.0,90.0,16.0,0.1
Carlos Correa,2024-03-28,Cole Ragans,Minnesota Twins,0.206,0.94,41.4,44.01,0.98,1.08,0.66,0,10.0,90.0,16.0,0.1
Carlos Santana,2024-03-28,Cole Ragans,Minnesota Twins,0.217,0.95,37.14,40.78,1.19,0.96,0.53,0,10.0,90.0,16.0,0.1
Max Kepler,2024-03-28,Cole Ragans,Minnesota Twins,0.166,1.72,36.37,24.41,1.18,1.12,0.89,0,10.0,90.0,16.0,0.1
Matt Wallner,2024-03-28,Cole Ragans,Minnesota Twins,0.185,1.39,32.76,38.29,1.16,1.04,0.79,0,10.0,90.0,16.0,0.1
Kyle Farmer,2024-03-28,Cole Ragans,Minnesota Twins,0.18,2.12,32.91,21.57,1.06,0.91,0.75,0,10.0,90.0,16.0,0.1
Willi Castro,2024-03-28,Cole Ragans,Minnesota Twins,0.23,1.14,35.71,41.04,0.91,1.17,0.92,0,10.0,90.0,16.0,0.1
Manuel Margot,2024-03-28,Cole Ragans,Minnesota Twins,0.309,1.03,52.03,43.88,0.9,1.13,0.77,0,10.0,90.0,16.0,0.1
Alex Kirilloff,2024-03-28,Cole Ragans,Minnesota Twins,0.287,0.93,55.0,46.36,0.98,1.09,0.61,0,10.0,90.0,16.0,0.1
Pablo López,2024-03-28,Cole Ragans,Minnesota Twins,0.183,1.94,27.3,46.58,1.13,0.98,0.68,0,10.0,90.0,16.0,0.1
Brock Stewart,2024-03-28,Cole Ragans,Minnesota Twins,0.227,2.17,55.81,28.41,0.98,1.15,1.0,0,10.0,90.0,16.0,0.1
Griffin Jax,2024-03-28,Cole Ragans,Minnesota Twins,0.246,1.86,45.13,21.6,1.14,1.01,0.86,0,10.0,90.0,16.0,0.1
Maikel Garcia,2024-03-28,Pablo López,Kansas City Royals,0.145,1.63,57.33,48.24,0.91,1.2,0.77,1,10.0,90.0,16.0,0.1
Bobby Witt Jr.,2024-03-28,Pablo López,Kansas City Royals,0.143,1.66,28.66,35.48,0.98,1.09,0.61,0,10.0,90.0,16.0,0.1
Vinnie Pasquantino,2024-03-28,Pablo López,Kansas City Royals,0.25,1.05,47.68,42.23,1.09,1.01,0.53,0,10.0,90.0,16.0,0.1
Salvador Perez,2024-03-28,Pablo López,Kansas City Royals,0.305,1.61,48.35,20.49,1.12,1.01,0.67,0,10.0,90.0,16.0,0.1
MJ Melendez,2024-03-28,Pablo López,Kansas City Royals,0.24,2.18,52.81,44.88,1.04,0.97,0.62,0,10.0,90.0,16.0,0.1
Hunter Renfroe,2024-03-28,Pablo López,Kansas City Royals,0.293,2.05,51.01,43.13,0.98,1.01,0.61,0,10.0,90.0,16.0,0.1
Adam Frazier,2024-03-28,Pablo López,Kansas City Royals,0.186,1.05,29.24,22.14,1.07,1.18,0.6,0,10.0,90.0,16.0,0.1
Nelson Velázquez,2024-03-28,Pablo López,Kansas City Royals,0.154,1.62,46.61,31.43,0.99,1.03,0.86,0,10.0,90.0,16.0,0.1
Kyle Isbel,2024-03-28,Pablo López,Kansas City Royals,0.25,1.93,44.05,45.02,1.09,1.16,0.58,0,10.0,90.0,16.0,0.1
Dairon Blanco,2024-03-28,Pablo López,Kansas City Royals,0.169,1.83,49.69,26.02,1.07,0.97,0.95,0,10.0,90.0,16.0,0.1
Cole Ragans,2024-03-28,Pablo López,Kansas City Royals,0.306,0.96,26.72,49.88,1.06,0.98,0.6,0,10.0,90.0,16.0,0.1
Nick Anderson,2024-03-28,Pablo López,Kansas City Royals,0.293,2.17,39.8,28.52,1.03,1.02,0.95,0,10.0,90.0,16.0,0.1
Angel Zerpa,2024-03-28,Pablo López,Kansas City Royals,0.2,0.9,43.31,47.91,1.08,1.04,0.8,0,10.0,90.0,16.0,0.1
Chris Stratton,2024-03-28,Pablo López,Kansas City Royals,0.229,1.78,28.08,33.14,1.01,0.92,0.5,0,10.0,90.0,16.0,0.1
Andy Ibáñez,2024-03-28,Garrett Crochet,Detroit Tigers,0.332,1.79,36.47,47.24,1.19,1.19,0.92,0,10.0,90.0,16.0,0.1
Kerry Carpenter,2024-03-28,Garrett Crochet,Detroit Tigers,0.17,2.02,45.2,43.41,1.02,0.91,0.79,0,10.0,90.0,16.0,0.1
