Player,Hand,ISO_vs_RHP,ISO_vs_LHP,HardHit,FlyBall,BarrelRate,ExitVelocity,LaunchAngle,RecentHRRate,Matchup
Munetaka Murakami,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Miguel Vargas,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Colson Montgomery,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Chase Meidroth,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Tristan Peters,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Randal Grichuk,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Rikuu Nishida,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Derek Hill,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ronald Acuña Jr.,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Mauricio Dubón,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Matt Olson,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ozzie Albies,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Austin Riley,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Michael Harris II,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jorge Mateo,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Dominic Smith,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Sandy León,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jarren Duran,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ceddanne Rafaela,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Wilyer Abreu,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Willson Contreras,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Andruw Monasterio,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nick Sogard,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Isiah Kiner-Falefa,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Carlos Narváez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Caleb Durbin,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
George Springer,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nathan Lukes,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Vladimir Guerrero Jr.,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Daulton Varsho,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Kazuma Okamoto,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jesús Sánchez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ernie Clement,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Andrés Giménez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Brandon Valenzuela,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Gunnar Henderson,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Adley Rutschman,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Pete Alonso,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Coby Mayo,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Leody Taveras,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Tyler O'Neill,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jackson Holliday,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Blaze Alexander,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Pete Crow-Armstrong,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nico Hoerner,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Michael Busch,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Alex Bregman,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ian Happ,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Seiya Suzuki,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Moisés Ballesteros,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Miguel Amaya,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Dansby Swanson,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Pittsburgh Pirates Player 1,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Pittsburgh Pirates Player 2,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Pittsburgh Pirates Player 3,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Pittsburgh Pirates Player 4,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Pittsburgh Pirates Player 5,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Pittsburgh Pirates Player 6,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Pittsburgh Pirates Player 7,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Pittsburgh Pirates Player 8,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Pittsburgh Pirates Player 9,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jeremy Peña,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Yordan Alvarez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Isaac Paredes,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Taylor Trammell,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Cam Smith,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Braden Shewmake,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Zach Dezenzo,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Brice Matthews,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Christian Vázquez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Joc Pederson,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Alejandro Osuna,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Brandon Nimmo,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Josh Jung,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Evan Carter,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jake Burger,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ezequiel Duran,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Kyle Higashioka,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nicky Lopez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Marcell Ozuna,R,0.26,0.24,47.0,42.0,14.0,92.5,18.0,0.22,0.78
Sean Murphy,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jarred Kelenic,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Elly De La Cruz,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Matt McLain,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Spencer Steer,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Christian Encarnacion-Strand,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Tyler Stephenson,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jeimer Candelario,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
TJ Friedl,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jake Fraley,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Noelvi Marte,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Luis Arraez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Fernando Tatis Jr.,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Manny Machado,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Xander Bogaerts,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jake Cronenworth,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jackson Merrill,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jurickson Profar,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ha-Seong Kim,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
CJ Abrams,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Lane Thomas,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
James Wood,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Keibert Ruiz,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Luis García Jr.,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Joey Meneses,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jesse Winker,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jacob Young,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Trey Lipscomb,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Carlos Correa,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Royce Lewis,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ryan Jeffers,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Matt Wallner,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Willi Castro,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Edouard Julien,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Oneil Cruz,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Bryan Reynolds,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Andrew McCutchen,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ke'Bryan Hayes,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Joey Bart,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nick Gonzales,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Tommy Pham,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jack Suwinski,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Bo Bichette,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Alejandro Kirk,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Addison Barger,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Davis Schneider,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ryan Mountcastle,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Anthony Santander,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jordan Westburg,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Colton Cowser,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Cedric Mullins,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Heston Kjerstad,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Rafael Devers,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Trevor Story,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Triston Casas,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Masataka Yoshida,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Connor Wong,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Romy Gonzalez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Steven Kwan,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
José Ramírez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Josh Naylor,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
David Fry,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Will Brennan,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Bo Naylor,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Brayan Rocchio,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Tyler Freeman,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Yandy Díaz,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Brandon Lowe,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Junior Caminero,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Josh Lowe,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Christopher Morel,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jonathan Aranda,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ben Rortvedt,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Taylor Walls,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jazz Chisholm Jr.,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Bryan De La Cruz,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nick Gordon,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Xavier Edwards,R,0.26,0.24,47.0,42.0,14.0,92.5,18.0,0.22,0.78
Emmanuel Rivera,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nick Fortes,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Francisco Lindor,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
J.D. Martinez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Mark Vientos,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Starling Marte,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jeff McNeil,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Francisco Alvarez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Brett Baty,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Matt Shaw,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Moises Ballesteros,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Masyn Winn,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Alec Burleson,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nolan Arenado,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Paul Goldschmidt,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Lars Nootbaar,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nolan Gorman,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Brendan Donovan,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jordan Walker,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Kerry Carpenter,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Parker Meadows,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Javier Báez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Luis Robert Jr.,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Andrew Benintendi,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Andrew Vaughn,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Lenyn Sosa,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Korey Lee,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Brooks Baldwin,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Maikel Garcia,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Bobby Witt Jr.,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Vinnie Pasquantino,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Salvador Perez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
MJ Melendez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Michael Massey,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Hunter Renfroe,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Kyle Isbel,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Freddy Fermin,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Marcus Semien,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Corey Seager,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Adolis García,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Wyatt Langford,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nathaniel Lowe,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jonah Heim,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Brice Turang,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
William Contreras,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Christian Yelich,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Willy Adames,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Rhys Hoskins,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Sal Frelick,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jackson Chourio,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Blake Perkins,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Joey Ortiz,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jose Altuve,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Kyle Tucker,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Yainer Diaz,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Chas McCormick,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jake Meyers,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jung Hoo Lee,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
LaMonte Wade Jr.,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Matt Chapman,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Michael Conforto,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Heliot Ramos,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Thairo Estrada,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Patrick Bailey,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Mike Yastrzemski,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Casey Schmitt,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ezequiel Tovar,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Brenton Doyle,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ryan McMahon,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Kris Bryant,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Michael Toglia,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Nolan Jones,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Elias Díaz,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Brendan Rodgers,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Charlie Blackmon,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Anthony Volpe,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Giancarlo Stanton,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Anthony Rizzo,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Gleyber Torres,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Alex Verdugo,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Austin Wells,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
DJ LeMahieu,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Lawrence Butler,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Brent Rooker,R,0.26,0.24,47.0,42.0,14.0,92.5,18.0,0.22,0.78
Shea Langeliers,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
JJ Bleday,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Tyler Soderstrom,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Zack Gelof,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Max Schuemann,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Darell Hernaiz,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Esteury Ruiz,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Corbin Carroll,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ketel Marte,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Lourdes Gurriel Jr.,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Christian Walker,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Eugenio Suárez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Gabriel Moreno,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
